opponent_family,gamelet_win_rate,series_win_rate,official_role_score,official_opponent_score,average_turns,barrier_placements,barrier_efficiency
random,0.75,1.0,2925,1125,16.8277777777778,389,0.347043701799486
belief_pursuit_evasion,0.966666666666667,1.0,3510,930,11.3,185,0.940540540540541
wall,0.755555555555556,1.0,2940,1120,15.75,239,0.569037656903766
local_adversarial_ensemble,0.855555555555556,1.0,3210,1030,13.8444444444444,226,0.68141592920354
historical_checkpoint,0.933333333333333,1.0,3420,960,10.5777777777778,194,0.865979381443299
scent_following,0.811111111111111,1.0,3090,1070,18.5388888888889,313,0.466453674121406
corridor_cutting,0.966666666666667,1.0,3510,930,11.7833333333333,244,0.713114754098361
anti_loop,0.777777777777778,1.0,3000,1100,16.45,239,0.585774058577406
targeted_exploit,0.577777777777778,0.933333333333333,2460,1280,22.0833333333333,548,0.18978102189781
deceptive_language,0.9,1.0,3330,990,12.9388888888889,239,0.677824267782427
